,ticker,date,volume
524,LL,2016-04-10,-0.0222222222
533,LOCO,2016-04-10,-0.0222222222
551,MCD,2016-04-10,0.0222222222
569,MNRO,2016-04-10,0.0222222222
578,MUSA,2016-04-10,0.0222222222
596,ORLY,2016-04-10,0.0222222222
605,PAG,2016-04-10,0.0222222222
614,PBPB,2016-04-10,0.0222222222
649,PZZA,2016-04-10,-0.0222222222
666,RCII,2016-04-10,-0.0222222222
693,RRGB,2016-04-10,-0.0222222222
702,RUSHA,2016-04-10,0.0222222222
711,RUTH,2016-04-10,0.0222222222
720,SAH,2016-04-10,0.0222222222
729,SBH,2016-04-10,0.0222222222
739,SEAS,2016-04-10,0.0222222222
775,SIX,2016-04-10,0.0222222222
827,TA,2016-04-10,-0.0222222222
863,TTS,2016-04-10,-0.0222222222
872,TUES,2016-04-10,0.0222222222
881,TXRH,2016-04-10,-0.0222222222
890,WEN,2016-04-10,0.0222222222
917,WOOF,2016-04-10,0.0222222222
935,YUM,2016-04-10,0.0222222222
51,AAN,2016-04-29,close all
142,AAP,2016-05-19,close all
321,AN,2016-04-22,close all
761,BJRI,2016-04-22,close all
961,BLMN,2016-04-26,close all
1231,BWLD,2016-04-27,close all
1322,CAB,2016-04-28,close all
1411,CAKE,2016-04-28,close all
1501,CAR,2016-05-04,close all
1861,CHEF,2016-05-04,close all
1951,CHUY,2016-05-04,close all
